#   B/C  AMS02(2011/05-2016/05)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
4.464818e-01 4.060000e-01 4.910000e-01 3.210000e-01 1.800000e-03 1.800000e-03 1.540000e-02 1.540000e-02 1.550484e-02 1.550484e-02
5.373155e-01 4.910000e-01 5.880000e-01 3.251000e-01 1.700000e-03 1.700000e-03 1.470000e-02 1.470000e-02 1.479797e-02 1.479797e-02
6.397249e-01 5.880000e-01 6.960000e-01 3.214000e-01 1.500000e-03 1.500000e-03 1.400000e-02 1.400000e-02 1.408013e-02 1.408013e-02
7.559206e-01 6.960000e-01 8.210000e-01 3.213000e-01 1.400000e-03 1.400000e-03 1.340000e-02 1.340000e-02 1.347294e-02 1.347294e-02
8.873212e-01 8.210000e-01 9.590000e-01 3.188000e-01 1.300000e-03 1.300000e-03 1.280000e-02 1.280000e-02 1.286585e-02 1.286585e-02
1.031741e+00 9.590000e-01 1.110000e+00 3.174000e-01 1.200000e-03 1.200000e-03 1.230000e-02 1.230000e-02 1.235840e-02 1.235840e-02
1.191973e+00 1.110000e+00 1.280000e+00 3.142000e-01 1.200000e-03 1.200000e-03 1.170000e-02 1.170000e-02 1.176138e-02 1.176138e-02
1.371714e+00 1.280000e+00 1.470000e+00 3.082000e-01 1.100000e-03 1.100000e-03 1.100000e-02 1.100000e-02 1.105486e-02 1.105486e-02
1.571496e+00 1.470000e+00 1.680000e+00 3.060000e-01 1.000000e-03 1.000000e-03 1.050000e-02 1.050000e-02 1.054751e-02 1.054751e-02
1.791312e+00 1.680000e+00 1.910000e+00 3.008000e-01 1.000000e-03 1.000000e-03 9.900000e-03 9.900000e-03 9.950377e-03 9.950377e-03
2.031157e+00 1.910000e+00 2.160000e+00 2.941000e-01 1.000000e-03 1.000000e-03 9.300000e-03 9.300000e-03 9.353609e-03 9.353609e-03
2.291026e+00 2.160000e+00 2.430000e+00 2.872000e-01 1.000000e-03 1.000000e-03 8.700000e-03 8.700000e-03 8.757283e-03 8.757283e-03
2.575636e+00 2.430000e+00 2.730000e+00 2.794000e-01 1.000000e-03 1.000000e-03 8.100000e-03 8.100000e-03 8.161495e-03 8.161495e-03
2.890294e+00 2.730000e+00 3.060000e+00 2.745000e-01 9.000000e-04 9.000000e-04 7.600000e-03 7.600000e-03 7.653104e-03 7.653104e-03
3.230263e+00 3.060000e+00 3.410000e+00 2.691000e-01 1.000000e-03 1.000000e-03 7.200000e-03 7.200000e-03 7.269113e-03 7.269113e-03
3.594983e+00 3.410000e+00 3.790000e+00 2.645000e-01 1.000000e-03 1.000000e-03 6.800000e-03 6.800000e-03 6.873136e-03 6.873136e-03
3.989737e+00 3.790000e+00 4.200000e+00 2.609000e-01 1.000000e-03 1.000000e-03 6.500000e-03 6.500000e-03 6.576473e-03 6.576473e-03
4.419276e+00 4.200000e+00 4.650000e+00 2.539000e-01 1.000000e-03 1.000000e-03 6.200000e-03 6.200000e-03 6.280127e-03 6.280127e-03
4.888865e+00 4.650000e+00 5.140000e+00 2.496000e-01 1.100000e-03 1.100000e-03 6.000000e-03 6.000000e-03 6.100000e-03 6.100000e-03
5.379424e+00 5.140000e+00 5.630000e+00 2.433000e-01 1.100000e-03 1.100000e-03 5.700000e-03 5.700000e-03 5.805170e-03 5.805170e-03
